Extracting brief (governed maze)...
Brief: 351 tokens from lyra-content-brief.md

Dispatching 453 lessons | workers=5 | dry_run=False

  [1/453] 01-math-foundations/02-vectors-matrices-operations -> done | 0.0 req/s | ETA 489.3min | fail_rate=0%
  [2/453] 00-setup-and-tooling/12-debugging-and-profiling -> done | 0.0 req/s | ETA 321.5min | fail_rate=0%
  [3/453] 00-setup-and-tooling/08-editor-setup -> done | 0.0 req/s | ETA 221.7min | fail_rate=0%
  [4/453] 01-math-foundations/05-chain-rule-and-autodiff -> done | 0.0 req/s | ETA 181.7min | fail_rate=0%
  [5/453] 01-math-foundations/03-matrix-transformations -> done | 0.0 req/s | ETA 227.2min | fail_rate=0%
  [6/453] 01-math-foundations/06-probability-and-distributions -> done | 0.0 req/s | ETA 194.1min | fail_rate=0%
  [7/453] 01-math-foundations/07-bayes-theorem -> done | 0.0 req/s | ETA 192.4min | fail_rate=0%
  [8/453] 01-math-foundations/10-dimensionality-reduction -> done | 0.0 req/s | ETA 172.6min | fail_rate=0%
  [9/453] 01-math-foundations/11-singular-value-decomposition -> done | 0.0 req/s | ETA 158.2min | fail_rate=0%
  [10/453] 01-math-foundations/18-convex-optimization -> done | 0.0 req/s | ETA 180.0min | fail_rate=0%
  [11/453] 01-math-foundations/13-numerical-stability -> done | 0.0 req/s | ETA 166.3min | fail_rate=0%
  [12/453] 01-math-foundations/15-statistics-for-ml -> done | 0.0 req/s | ETA 154.2min | fail_rate=0%
  [13/453] 01-math-foundations/17-linear-systems -> done | 0.0 req/s | ETA 152.4min | fail_rate=0%
  [14/453] 01-math-foundations/19-complex-numbers -> done | 0.0 req/s | ETA 172.8min | fail_rate=0%
  [15/453] 01-math-foundations/22-stochastic-processes -> done | 0.0 req/s | ETA 161.3min | fail_rate=0%
  [16/453] 02-ml-fundamentals/05-support-vector-machines -> done | 0.0 req/s | ETA 156.8min | fail_rate=0%
  [17/453] 02-ml-fundamentals/02-linear-regression -> done | 0.0 req/s | ETA 148.0min | fail_rate=0%
  [18/453] 01-math-foundations/16-sampling-methods -> done | 0.0 req/s | ETA 154.1min | fail_rate=0%
  [19/453] 02-ml-fundamentals/07-unsupervised-learning -> done | 0.0 req/s | ETA 156.4min | fail_rate=0%
  [20/453] 02-ml-fundamentals/06-knn-and-distances -> done | 0.0 req/s | ETA 153.1min | fail_rate=0%
  [21/453] 02-ml-fundamentals/08-feature-engineering -> done | 0.0 req/s | ETA 145.7min | fail_rate=0%
  [22/453] 02-ml-fundamentals/09-model-evaluation -> done | 0.0 req/s | ETA 147.1min | fail_rate=0%
  [23/453] 02-ml-fundamentals/12-hyperparameter-tuning -> done | 0.0 req/s | ETA 147.1min | fail_rate=0%
  [24/453] 02-ml-fundamentals/13-ml-pipelines -> done | 0.0 req/s | ETA 152.2min | fail_rate=0%
  [25/453] 02-ml-fundamentals/16-anomaly-detection -> done | 0.0 req/s | ETA 147.6min | fail_rate=0%
  [26/453] 02-ml-fundamentals/17-imbalanced-data -> done | 0.0 req/s | ETA 142.4min | fail_rate=0%
  [27/453] 02-ml-fundamentals/18-feature-selection -> done | 0.0 req/s | ETA 142.3min | fail_rate=0%
  [28/453] 03-deep-learning-core/02-multi-layer-networks -> done | 0.1 req/s | ETA 137.2min | fail_rate=0%
  [29/453] 03-deep-learning-core/05-loss-functions -> done | 0.0 req/s | ETA 143.2min | fail_rate=0%
  [30/453] 03-deep-learning-core/04-activation-functions -> done | 0.1 req/s | ETA 140.1min | fail_rate=0%
  [31/453] 03-deep-learning-core/07-regularization -> done | 0.1 req/s | ETA 136.9min | fail_rate=0%
  [32/453] 03-deep-learning-core/06-optimizers -> done | 0.1 req/s | ETA 135.7min | fail_rate=0%
  [33/453] 03-deep-learning-core/08-weight-initialization -> done | 0.1 req/s | ETA 135.7min | fail_rate=0%
  [34/453] 04-computer-vision/01-image-fundamentals -> done | 0.1 req/s | ETA 137.2min | fail_rate=0%
  [35/453] 03-deep-learning-core/11-intro-to-pytorch -> done | 0.1 req/s | ETA 133.5min | fail_rate=0%
  [36/453] 03-deep-learning-core/13-debugging-neural-networks -> done | 0.1 req/s | ETA 135.2min | fail_rate=0%
  [37/453] 04-computer-vision/03-cnns-lenet-to-resnet -> done | 0.1 req/s | ETA 131.3min | fail_rate=0%
  [38/453] 04-computer-vision/04-image-classification -> done | 0.1 req/s | ETA 133.5min | fail_rate=0%
  [39/453] 04-computer-vision/05-transfer-learning -> done | 0.1 req/s | ETA 136.5min | fail_rate=0%
  [40/453] 04-computer-vision/08-instance-segmentation-mask-rcnn -> done | 0.1 req/s | ETA 135.4min | fail_rate=0%
  [41/453] 04-computer-vision/07-semantic-segmentation-unet -> done | 0.1 req/s | ETA 133.1min | fail_rate=0%
  [42/453] 04-computer-vision/09-image-generation-gans -> done | 0.1 req/s | ETA 136.2min | fail_rate=0%
  [43/453] 04-computer-vision/06-object-detection-yolo -> done | 0.1 req/s | ETA 135.4min | fail_rate=0%
  [44/453] 04-computer-vision/15-real-time-edge -> done | 0.0 req/s | ETA 138.1min | fail_rate=0%
  [45/453] 04-computer-vision/19-ocr-document-understanding -> done | 0.0 req/s | ETA 138.4min | fail_rate=0%
